year	prov_resid	sexo	estud_gr	edad_gr	tocup
1996	8	6	2	4	55.4
1996	8	6	2	5	51.5
1996	8	6	2	6	42.7
1996	8	6	2	7	21.0
1996	8	6	2	8	0.4
1996	8	6	2	99	38.9
1996	8	6	3	1	32.6
1996	8	6	3	2	35.6
1996	8	6	3	3	72.6
1996	8	6	3	4	76.8
1996	8	6	3	5	82.1
1996	8	6	3	6	77.9
1996	8	6	3	7	48.7
1996	8	6	3	8	8.9
1996	8	6	3	99	66.2
1996	8	6	99	1	10.1
1996	8	6	99	2	44.3
1996	8	6	99	3	60.3
1996	8	6	99	4	55.9
1996	8	6	99	5	52.3
1996	8	6	99	6	39.5
1996	8	6	99	7	18.9
1996	8	6	99	8	0.7
1996	8	6	99	99	32.6
1996	8	99	1	1	29.8
1996	8	99	1	2	56.6
1996	8	99	1	3	44.5
1996	8	99	1	4	49.8
1996	8	99	1	5	60.9
1996	8	99	1	6	52.4
1996	8	99	1	7	28.9
1996	8	99	1	8	0.8
1996	8	99	1	99	30.7
1996	8	99	2	1	11.0
1996	8	99	2	2	46.5
1996	8	99	2	3	68.7
1996	8	99	2	4	70.1
1996	8	99	2	5	69.9
1996	8	99	2	6	65.3
1996	8	99	2	7	39.5
1996	8	99	2	8	0.9
1996	8	99	2	99	49.5
1996	8	99	3	1	40.5
1996	8	99	3	2	31.1
1996	8	99	3	3	71.8
1996	8	99	3	4	81.9
1996	8	99	3	5	89.2
1996	8	99	3	6	90.4
1996	8	99	3	7	63.9
1996	8	99	3	8	17.3
1996	8	99	3	99	71.3
1996	8	99	99	1	12.3
1996	8	99	99	2	45.3
1996	8	99	99	3	66.8
1996	8	99	99	4	69.3
1996	8	99	99	5	69.7
1996	8	99	99	6	60.4
1996	8	99	99	7	33.8
1996	8	99	99	8	1.4
1996	8	99	99	99	44.1
1996	9	1	1	1	31.0
1996	9	1	1	2	71.8
1996	9	1	1	3	45.8
1996	9	1	1	4	48.3
1996	9	1	1	5	88.8
1996	9	1	1	6	85.5
1996	9	1	1	7	62.6
1996	9	1	1	8	1.4
1996	9	1	1	99	47.5
1996	9	1	2	1	15.9
1996	9	1	2	2	44.8
1996	9	1	2	3	77.5
1996	9	1	2	4	89.1
1996	9	1	2	5	93.7
1996	9	1	2	6	85.0
1996	9	1	2	7	60.6
1996	9	1	2	8	0.0
1996	9	1	2	99	65.0
1996	9	1	3	2	13.2
1996	9	1	3	3	50.0
1996	9	1	3	4	87.4
1996	9	1	3	5	100.0
1996	9	1	3	6	100.0
1996	9	1	3	7	54.1
1996	9	1	3	8	9.3
1996	9	1	3	99	70.9
1996	9	1	99	1	16.8
1996	9	1	99	2	44.2
1996	9	1	99	3	68.5
1996	9	1	99	4	84.0
1996	9	1	99	5	92.9
1996	9	1	99	6	87.0
1996	9	1	99	7	62.0
1996	9	1	99	8	1.8
1996	9	1	99	99	57.5
1996	9	6	1	1	0.0
1996	9	6	1	2	50.2
1996	9	6	1	3	14.1
1996	9	6	1	4	14.0
1996	9	6	1	5	34.2
1996	9	6	1	6	27.0
1996	9	6	1	7	16.4
1996	9	6	1	8	0.6
1996	9	6	1	99	13.6
1996	9	6	2	1	2.0
1996	9	6	2	2	26.5
1996	9	6	2	3	43.9
1996	9	6	2	4	38.7
1996	9	6	2	5	49.5
1996	9	6	2	6	37.0
1996	9	6	2	7	41.5
1996	9	6	2	8	0.0
1996	9	6	2	99	32.8
1996	9	6	3	1	0.0
1996	9	6	3	2	21.9
1996	9	6	3	3	53.9
1996	9	6	3	4	63.4
1996	9	6	3	5	56.8
1996	9	6	3	6	82.5
1996	9	6	3	7	7.9
